neo_reference_id,name,absolute_magnitude_h,min_diameter_m,max_diameter_m,close_approach_date,epoch_date_close_approach,miss_distance_km,relative_velocity_kph,is_potentially_hazardous,is_sentry_object
3829425,(2018 RR5),26.37,14.1434375313,31.6256877555,2024-04-12,1712919960000,69420395.68648052,24960.7769543521,False,False
54145472,(2021 JV6),23.69,48.5909037451,108.6525638621,2024-04-12,1712895360000,23674709.75616271,16945.8443914549,False,False
54197674,(2021 RJ19),25.79,18.4737463615,41.3085526634,2024-04-12,1712905260000,7518895.489803014,41166.2597055779,False,False
54203003,(2021 TK2),24.33,36.1871996599,80.917038355,2024-04-12,1712910720000,29888683.461024765,60418.6165328414,False,False
54432216,(2024 FX3),25.5,21.113244479,47.2106498806,2024-04-12,1712956980000,3652123.196126746,42215.9510236392,False,False
54433328,(2024 GA2),25.37,22.4158378614,50.1233372306,2024-04-12,1712892720000,5501643.834576299,50047.0746202188,False,False
54438674,(2024 HN2),24.88,28.0902093949,62.8116177092,2024-04-12,1712882820000,7143339.162638084,25949.1534039065,False,False
54467972,(2024 RK1),26.74,11.9276524644,26.6710417224,2024-04-12,1712905080000,37708599.30612859,27026.6917088853,False,False
3333737,(2006 KK21),20.59,202.5606008648,452.9392730968,2024-04-17,1713363840000,49157992.760350905,77019.0600846967,True,False
3639501,(2013 LD2),24.8,29.1443904535,65.1688382168,2024-04-17,1713383160000,61413786.65130619,67890.0832006576,False,False
3738546,(2015 YK),25.86,17.887719524,39.9981568182,2024-04-17,1713319500000,11340111.237801151,10174.4489504466,False,False
3773647,(2017 FG128),22.11,100.5900390178,224.9261651032,2024-04-17,1713393540000,20748874.42022548,63321.650363956,False,False
3787101,(2017 UU1),26.9,11.0803882126,24.7765012606,2024-04-17,1713373860000,31140307.668745723,20572.7227223345,False,False
3841544,(2019 HU2),26.2,15.2951935344,34.201092472,2024-04-17,1713338460000,67654453.1639515,59045.5939534229,False,False
3841702,(2019 JD1),25.07,25.7368254194,57.5492911629,2024-04-17,1713346560000,50351329.927892685,51177.0790620241,False,False
54430727,(2024 EV3),24.28,37.0301078223,82.8018383048,2024-04-17,1713363420000,18295110.063021097,11551.443566898,False,False
54431589,(2024 FU1),23.98,42.5162524006,95.0692305162,2024-04-17,1713373080000,13324872.82370702,25733.6145826358,False,False
54432460,(2024 FE5),23.25,59.5052078631,133.0576897973,2024-04-17,1713361140000,26294997.96509207,31719.7785830417,False,False
54433099,(2024 GM1),25.61,20.0703514113,44.8786700881,2024-04-17,1713318720000,1324458.249497442,37334.1748081442,False,False
54433742,(2024 GF4),23.24,59.7798714231,133.6718561883,2024-04-17,1713353700000,38950795.15297216,12084.9482715022,False,False
54434076,(2024 GF5),27.31,9.1739205915,20.5135100629,2024-04-17,1713365280000,3704868.44305092,26596.0535077311,False,False
54435205,(2024 HO),28.82,4.5767266723,10.2338719537,2024-04-17,1713359400000,173236.652226985,36625.2331616809,False,False
54439325,(2024 JJ),25.61,20.0703514113,44.8786700881,2024-04-17,1713337920000,3755539.380869461,55381.2382095746,False,False
54439890,(2024 JC2),26.46,13.5692228993,30.3417048048,2024-04-17,1713340380000,2232185.048568385,17649.0148635362,False,False
54440322,(2024 HW5),23.39,55.7898221067,124.7498346832,2024-04-17,1713339540000,4863301.001730478,126460.3835819466,False,False
54527288,(2025 HJ1),25.35,22.6232490554,50.5871227598,2024-04-17,1713366420000,20370016.15391412,22205.1377409061,False,False
2276033,276033 (2002 AJ129),18.78,466.1814373895,1042.4133838516,2024-04-18,1713418140000,48650647.27706247,103354.9627260218,True,False
3373682,(2007 GQ3),22.03,104.3650238292,233.3672877555,2024-04-18,1713450060000,12763480.771542853,40824.2008702217,True,False
3591884,(2011 YT62),22.29,92.5880583366,207.0331923453,2024-04-18,1713460440000,63586185.61423907,27914.8129495222,False,False
3623675,(2013 AZ52),19.89,279.6114660622,625.2302454035,2024-04-18,1713436260000,50698512.0420145,109382.9459599955,False,False
3761271,(2016 US4),24.41,34.8782733159,77.9901900722,2024-04-18,1713410100000,69389924.79945022,69112.3102473006,False,False
3825448,(2018 MR5),21.08,161.6422833399,361.4431335863,2024-04-18,1713474000000,53787303.15591956,63424.9852353799,True,False
3893725,(2019 WT4),23.87,44.7254765433,100.0092058768,2024-04-18,1713428880000,54855343.43065988,25891.4956910498,False,False
